2019-02-11 15:43:53,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------43
2019-02-11 18:03:58,817 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------560
2019-02-11 18:03:58,823 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------548
2019-02-11 18:03:58,829 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------564
2019-02-11 18:03:58,834 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------552
2019-02-11 18:03:58,842 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------568
2019-02-11 18:03:58,846 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------556
2019-02-11 18:03:58,850 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------572
2019-02-11 18:03:58,855 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------560
2019-02-11 18:03:58,863 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------576
2019-02-11 18:03:58,867 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------564
2019-02-11 18:03:58,872 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------580
2019-02-11 18:03:58,877 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------568
2019-02-11 18:03:58,881 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------584
2019-02-11 18:03:58,886 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------572
2019-02-11 18:03:58,890 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------588
2019-02-11 18:03:58,896 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------576
2019-02-11 18:03:58,901 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------592
2019-02-11 18:03:58,906 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------580
2019-02-11 18:03:58,912 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------596
2019-02-11 18:03:58,917 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------584
2019-02-11 18:03:58,922 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------600
2019-02-11 18:03:58,927 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------588
2019-02-11 18:03:58,932 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------604
2019-02-11 18:03:58,939 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------592
2019-02-11 18:03:58,946 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------608
2019-02-11 18:03:58,953 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------596
2019-02-11 18:03:58,960 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------612
2019-02-11 18:03:58,966 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------600
2019-02-11 18:03:58,972 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------616
2019-02-11 18:03:58,979 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------604
2019-02-11 18:03:58,985 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------620
2019-02-11 18:03:58,992 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------608
2019-02-11 18:03:58,998 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------624
2019-02-11 18:03:59,004 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------612
2019-02-11 18:03:59,009 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------628
2019-02-11 18:03:59,013 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------616
2019-02-11 18:03:59,018 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------632
2019-02-11 18:03:59,022 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------620
2019-02-11 18:03:59,029 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------636
2019-02-11 18:03:59,036 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------624
2019-02-11 18:03:59,044 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------640
2019-02-11 18:03:59,050 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------628
2019-02-11 18:03:59,057 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------644
2019-02-11 18:03:59,064 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------632
2019-02-11 18:03:59,071 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------648
2019-02-11 18:03:59,077 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------636
2019-02-11 18:03:59,084 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------652
2019-02-11 18:03:59,091 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------640
2019-02-11 18:03:59,098 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------656
2019-02-11 18:03:59,105 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------644
2019-02-11 18:03:59,112 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------660
2019-02-11 18:03:59,119 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------648
2019-02-11 18:03:59,126 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------664
2019-02-11 18:03:59,133 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------652
2019-02-11 18:03:59,139 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------668
2019-02-11 18:03:59,144 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------656
2019-02-11 18:03:59,149 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------672
2019-02-11 18:03:59,157 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------660
2019-02-11 18:03:59,164 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------676
2019-02-11 18:03:59,171 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------664
2019-02-11 18:03:59,179 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------680
2019-02-11 18:03:59,186 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------668
2019-02-11 18:03:59,194 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------684
2019-02-11 18:03:59,202 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------672
2019-02-11 18:03:59,209 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------688
2019-02-11 18:03:59,215 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------676
2019-02-11 18:03:59,221 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------692
2019-02-11 18:03:59,227 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------680
2019-02-11 18:03:59,232 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------696
2019-02-11 18:03:59,238 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------684
2019-02-11 18:03:59,247 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------700
2019-02-11 18:03:59,252 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------688
2019-02-11 18:03:59,259 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------704
2019-02-11 18:03:59,265 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------692
2019-02-11 18:03:59,271 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------708
2019-02-11 18:03:59,276 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------696
2019-02-11 18:03:59,285 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------712
2019-02-11 18:03:59,290 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------700
2019-02-11 18:03:59,296 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------716
2019-02-11 18:03:59,304 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------704
2019-02-11 18:03:59,312 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------720
2019-02-11 18:03:59,317 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------708
2019-02-11 18:03:59,323 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------724
2019-02-11 18:03:59,328 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------712
2019-02-11 18:03:59,334 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------728
2019-02-11 18:03:59,341 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------716
2019-02-11 18:03:59,348 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------732
2019-02-11 18:03:59,355 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------720
2019-02-11 18:03:59,363 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------736
2019-02-11 18:03:59,368 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------724
2019-02-11 18:03:59,372 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------740
2019-02-11 18:03:59,378 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------728
2019-02-11 18:03:59,384 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------744
2019-02-11 18:03:59,390 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------732
2019-02-11 18:03:59,395 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------748
2019-02-11 18:03:59,402 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------736
2019-02-11 18:03:59,407 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------752
2019-02-11 18:03:59,414 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------740
2019-02-11 18:03:59,419 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------756
2019-02-11 18:03:59,426 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------744
2019-02-11 18:03:59,432 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------760
2019-02-11 18:03:59,444 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------748
2019-02-11 18:03:59,449 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------764
2019-02-11 18:03:59,455 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------752
2019-02-11 18:03:59,464 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------768
2019-02-11 18:03:59,468 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------756
2019-02-11 18:03:59,475 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------772
2019-02-11 18:03:59,482 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------760
2019-02-11 18:03:59,492 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------776
2019-02-11 18:03:59,501 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------764
2019-02-11 18:03:59,510 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------780
2019-02-11 18:03:59,517 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------768
2019-02-11 18:03:59,525 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------784
2019-02-11 18:03:59,531 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------772
2019-02-11 18:03:59,537 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------788
2019-02-11 18:03:59,544 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------776
2019-02-11 18:03:59,550 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------792
2019-02-11 18:03:59,556 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------780
2019-02-11 18:03:59,563 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------796
2019-02-11 18:03:59,569 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------784
2019-02-11 18:03:59,576 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------800
2019-02-11 18:03:59,586 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------788
2019-02-11 18:03:59,592 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------804
2019-02-11 18:03:59,599 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------792
2019-02-11 18:03:59,605 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------808
2019-02-11 18:03:59,613 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------796
2019-02-11 18:03:59,623 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------812
2019-02-11 18:03:59,630 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------800
2019-02-11 18:03:59,637 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------816
2019-02-11 18:03:59,644 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------804
2019-02-11 18:03:59,653 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------820
2019-02-11 18:03:59,661 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------808
2019-02-11 18:03:59,668 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------824
2019-02-11 18:03:59,674 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------812
2019-02-11 18:03:59,681 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------828
2019-02-11 18:03:59,688 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------816
2019-02-11 18:03:59,694 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------832
2019-02-11 18:03:59,701 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------820
2019-02-11 18:03:59,709 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------836
2019-02-11 18:03:59,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------824
2019-02-11 18:03:59,721 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------840
2019-02-11 18:03:59,729 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------828
2019-02-11 18:03:59,738 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------844
2019-02-11 18:03:59,747 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------832
2019-02-11 18:03:59,756 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------848
2019-02-11 18:03:59,766 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------836
2019-02-11 18:03:59,775 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------852
2019-02-11 18:03:59,785 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------840
2019-02-11 18:03:59,794 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------856
2019-02-11 18:03:59,804 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------844
2019-02-11 18:03:59,813 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------860
2019-02-11 18:03:59,822 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------848
2019-02-11 18:03:59,829 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------864
2019-02-11 18:03:59,837 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------852
2019-02-11 18:03:59,847 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------868
2019-02-11 18:03:59,855 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------856
2019-02-11 18:03:59,867 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------872
2019-02-11 18:03:59,876 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------860
2019-02-11 18:03:59,885 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------876
2019-02-11 18:03:59,895 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------864
2019-02-11 18:03:59,904 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------880
2019-02-11 18:03:59,913 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------868
2019-02-11 18:03:59,922 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------884
2019-02-11 18:03:59,931 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------872
2019-02-11 18:03:59,941 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------888
2019-02-11 18:03:59,947 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------876
2019-02-11 18:03:59,953 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------892
2019-02-11 18:03:59,962 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------880
2019-02-11 18:03:59,972 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------896
2019-02-11 18:03:59,981 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------884
2019-02-11 18:03:59,990 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------900
2019-02-11 18:03:59,999 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------888
2019-02-11 18:04:00,009 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------904
2019-02-11 18:04:00,016 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------892
2019-02-11 18:04:00,024 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------908
2019-02-11 18:04:00,033 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------896
2019-02-11 18:04:00,040 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------912
2019-02-11 18:04:00,051 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------900
2019-02-11 18:04:00,061 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------916
2019-02-11 18:04:00,071 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------904
2019-02-11 18:04:00,079 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------920
2019-02-11 18:04:00,086 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------908
2019-02-11 18:04:00,093 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------924
2019-02-11 18:04:00,101 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------912
2019-02-11 18:04:00,108 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------928
2019-02-11 18:04:00,115 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------916
2019-02-11 18:04:00,123 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------932
2019-02-11 18:04:00,131 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------920
2019-02-11 18:04:00,138 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------936
2019-02-11 18:04:00,146 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------924
2019-02-11 18:04:00,154 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------940
2019-02-11 18:04:00,163 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------928
2019-02-11 18:04:00,171 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------944
2019-02-11 18:04:00,178 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------932
2019-02-11 18:04:00,186 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------948
2019-02-11 18:04:00,193 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------936
2019-02-11 18:04:00,201 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------952
2019-02-11 18:04:00,208 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------940
2019-02-11 18:04:00,216 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------956
2019-02-11 18:04:00,226 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------944
2019-02-11 18:04:00,236 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------960
2019-02-11 18:04:00,244 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------948
2019-02-11 18:04:00,258 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------964
2019-02-11 18:04:00,266 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------952
2019-02-11 18:04:00,273 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------968
2019-02-11 18:04:00,280 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------956
2019-02-11 18:04:00,292 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------972
2019-02-11 18:04:00,300 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------960
2019-02-11 18:04:00,308 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------976
2019-02-11 18:04:00,316 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------964
2019-02-11 18:04:00,324 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------980
2019-02-11 18:04:00,332 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------968
2019-02-11 18:04:00,339 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------984
2019-02-11 18:04:00,348 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------972
2019-02-11 18:04:00,356 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------988
2019-02-11 18:04:00,367 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------976
2019-02-11 18:04:00,377 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------992
2019-02-11 18:04:00,388 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------980
2019-02-11 18:04:00,399 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------996
2019-02-11 18:04:00,411 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------984
2019-02-11 18:04:00,421 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1000
2019-02-11 18:04:00,433 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------988
2019-02-11 18:04:00,444 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1004
2019-02-11 18:04:00,455 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------992
2019-02-11 18:04:00,467 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1008
2019-02-11 18:04:00,481 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------996
2019-02-11 18:04:00,492 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1012
2019-02-11 18:04:00,504 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1000
2019-02-11 18:04:00,515 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1016
2019-02-11 18:04:00,527 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1004
2019-02-11 18:04:00,535 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1020
2019-02-11 18:04:00,543 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1008
2019-02-11 18:04:00,552 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1024
2019-02-11 18:04:00,561 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1012
2019-02-11 18:04:00,570 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1028
2019-02-11 18:04:00,578 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1016
2019-02-11 18:04:00,587 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1032
2019-02-11 18:04:00,595 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1020
2019-02-11 18:04:00,604 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1036
2019-02-11 18:04:00,615 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1024
2019-02-11 18:04:00,626 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1040
2019-02-11 18:04:00,636 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1028
2019-02-11 18:04:00,643 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1044
2019-02-11 18:04:00,654 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1032
2019-02-11 18:04:00,665 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1048
2019-02-11 18:04:00,675 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1036
2019-02-11 18:04:00,682 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1052
2019-02-11 18:04:00,694 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1040
2019-02-11 18:04:00,702 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1056
2019-02-11 18:04:00,711 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1044
2019-02-11 18:04:00,719 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1060
2019-02-11 18:04:00,728 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1048
2019-02-11 18:04:00,736 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1064
2019-02-11 18:04:00,745 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1052
2019-02-11 18:04:00,753 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1068
2019-02-11 18:04:00,762 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1056
2019-02-11 18:04:00,771 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1072
2019-02-11 18:04:00,779 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1060
2019-02-11 18:04:00,790 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1076
2019-02-11 18:04:00,801 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1064
2019-02-11 18:04:00,812 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1080
2019-02-11 18:04:00,823 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1068
2019-02-11 18:04:00,834 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1084
2019-02-11 18:04:00,845 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1072
2019-02-11 18:04:00,856 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1088
2019-02-11 18:04:00,868 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1076
2019-02-11 18:04:00,880 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1092
2019-02-11 18:04:00,889 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1080
2019-02-11 18:04:00,899 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1096
2019-02-11 18:04:00,911 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1084
2019-02-11 18:04:00,918 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1100
2019-02-11 18:04:00,931 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1088
2019-02-11 18:04:00,938 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1104
2019-02-11 18:04:00,951 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1092
2019-02-11 18:04:00,961 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1108
2019-02-11 18:04:00,972 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1096
2019-02-11 18:04:00,983 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1112
2019-02-11 18:04:00,995 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1100
2019-02-11 18:04:01,002 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1116
2019-02-11 18:04:01,013 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1104
2019-02-11 18:04:01,025 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1120
2019-02-11 18:04:01,037 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1108
2019-02-11 18:04:01,046 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1124
2019-02-11 18:04:01,054 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1112
2019-02-11 18:04:01,063 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1128
2019-02-11 18:04:01,076 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1116
2019-02-11 18:04:01,089 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1132
2019-02-11 18:04:01,096 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1120
2019-02-11 18:04:01,106 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1136
2019-02-11 18:04:01,114 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1124
2019-02-11 18:04:01,123 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1140
2019-02-11 18:04:01,132 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1128
2019-02-11 18:04:01,141 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1144
2019-02-11 18:04:01,151 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1132
2019-02-11 18:04:01,163 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1148
